-183.001, 76.411, 1.512,  3.580
-182.988, 76.362, 1.517,  3.613
-182.976, 76.313, 1.523,  3.646
-182.963, 76.263, 1.528,  3.679
-182.950, 76.214, 1.533,  3.712
-182.937, 76.164, 1.539,  3.745
-182.925, 76.114, 1.544,  3.778
-182.912, 76.064, 1.550,  3.811
-182.899, 76.014, 1.555,  3.844
-182.886, 75.964, 1.561,  3.877
-182.873, 75.913, 1.566,  3.910
-182.860, 75.863, 1.572,  3.943
-182.847, 75.812, 1.577,  3.976
-182.834, 75.761, 1.583,  4.009
-182.821, 75.709, 1.589,  4.042
-182.808, 75.658, 1.594,  4.075
-182.794, 75.606, 1.600,  4.108
-182.781, 75.554, 1.605,  4.141
-182.768, 75.502, 1.611,  4.174
-182.755, 75.450, 1.617,  4.207
-182.741, 75.398, 1.622,  4.240
-182.728, 75.345, 1.628,  4.273
-182.715, 75.293, 1.634,  4.306
-182.701, 75.240, 1.639,  4.339
-182.688, 75.187, 1.645,  4.372
-182.674, 75.133, 1.651,  4.405
-182.661, 75.080, 1.656,  4.438
-182.648, 75.026, 1.662,  4.471
-182.634, 74.972, 1.668,  4.504
-182.621, 74.918, 1.674,  4.537
-182.607, 74.864, 1.680,  4.570
-182.594, 74.809, 1.685,  4.603
-182.580, 74.755, 1.691,  4.636
-182.566, 74.700, 1.697,  4.669
-182.553, 74.645, 1.703,  4.702
-182.539, 74.589, 1.709,  4.735
-182.526, 74.534, 1.715,  4.768
-182.512, 74.478, 1.721,  4.801
-182.499, 74.422, 1.726,  4.834
-182.485, 74.366, 1.732,  4.867
-182.472, 74.310, 1.738,  4.900
-182.458, 74.253, 1.744,  4.933
-182.444, 74.197, 1.750,  4.966
-182.431, 74.140, 1.756,  4.999
-182.417, 74.083, 1.762,  5.032
-182.404, 74.025, 1.768,  5.065
-182.390, 73.968, 1.774,  5.098
-182.377, 73.910, 1.780,  5.131
-182.363, 73.852, 1.786,  5.164
-182.350, 73.794, 1.792,  5.197
-182.336, 73.736, 1.799,  5.230
-182.323, 73.677, 1.805,  5.263
-182.309, 73.618, 1.811,  5.296
-182.296, 73.559, 1.817,  5.329
-182.283, 73.500, 1.823,  5.362
-182.269, 73.441, 1.829,  5.395
-182.256, 73.381, 1.835,  5.428
-182.243, 73.321, 1.842,  5.461
-182.229, 73.261, 1.848,  5.494
-182.216, 73.201, 1.854,  5.527
-182.203, 73.140, 1.860,  5.560
-182.190, 73.079, 1.867,  5.593
-182.176, 73.018, 1.873,  5.626
-182.163, 72.957, 1.879,  5.659
-182.150, 72.896, 1.886,  5.692
-182.137, 72.834, 1.892,  5.725
-182.124, 72.772, 1.898,  5.758
-182.111, 72.710, 1.905,  5.791
-182.098, 72.648, 1.911,  5.824
-182.085, 72.585, 1.918,  5.857
-182.072, 72.522, 1.924,  5.890
-182.060, 72.459, 1.931,  5.923
-182.047, 72.396, 1.937,  5.956
-182.034, 72.333, 1.944,  5.989
-182.022, 72.269, 1.950,  6.022
-182.009, 72.205, 1.957,  6.055
-181.996, 72.141, 1.963,  6.088
-181.984, 72.076, 1.970,  6.121
-181.971, 72.012, 1.976,  6.154
-181.959, 71.947, 1.983,  6.187
-181.947, 71.882, 1.990,  6.220
-181.935, 71.816, 1.996,  6.253
-181.922, 71.751, 2.003,  6.286
-181.910, 71.685, 2.010,  6.319
-181.898, 71.619, 2.016,  6.352
-181.886, 71.553, 2.023,  6.385
-181.874, 71.486, 2.030,  6.418
-181.862, 71.419, 2.037,  6.451
-181.850, 71.352, 2.043,  6.484
-181.839, 71.285, 2.050,  6.517
-181.827, 71.217, 2.057,  6.550
-181.816, 71.149, 2.064,  6.583
-181.804, 71.081, 2.071,  6.616
-181.793, 71.013, 2.078,  6.649
-181.781, 70.945, 2.085,  6.682
-181.770, 70.876, 2.092,  6.715
-181.759, 70.807, 2.099,  6.748
-181.748, 70.738, 2.105,  6.781
-181.736, 70.668, 2.112,  6.814
-181.726, 70.598, 2.119,  6.847
-181.715, 70.528, 2.126,  6.880
-181.704, 70.458, 2.133,  6.913
-181.693, 70.388, 2.140,  6.946
-181.683, 70.317, 2.147,  6.979
-181.672, 70.246, 2.155,  7.012
-181.662, 70.175, 2.162,  7.045
-181.651, 70.103, 2.169,  7.078
-181.641, 70.031, 2.176,  7.111
-181.631, 69.959, 2.183,  7.144
-181.621, 69.887, 2.191,  7.177
-181.611, 69.814, 2.198,  7.210
-181.601, 69.742, 2.205,  7.243
-181.591, 69.668, 2.212,  7.276
-181.582, 69.595, 2.220,  7.309
-181.572, 69.522, 2.227,  7.342
-181.562, 69.448, 2.234,  7.375
-181.553, 69.374, 2.242,  7.408
-181.544, 69.299, 2.249,  7.441
-181.535, 69.225, 2.257,  7.474
-181.526, 69.150, 2.264,  7.507
-181.517, 69.075, 2.271,  7.540
-181.508, 68.999, 2.279,  7.573
